V1	V(vd1)	I(D1)
-8.200000000000000e+01	-4.248971e+01	-3.951029e-02
-8.190000000000001e+01	-4.248488e+01	-3.941512e-02
-8.180000000000000e+01	-4.248006e+01	-3.931994e-02
-8.170000000000000e+01	-4.247523e+01	-3.922477e-02
-8.159999999999999e+01	-4.247041e+01	-3.912960e-02
-8.150000000000000e+01	-4.246558e+01	-3.903442e-02
-8.140000000000001e+01	-4.246075e+01	-3.893925e-02
-8.130000000000000e+01	-4.245592e+01	-3.884408e-02
-8.120000000000000e+01	-4.245110e+01	-3.874891e-02
-8.109999999999999e+01	-4.244627e+01	-3.865373e-02
-8.100000000000000e+01	-4.244144e+01	-3.855856e-02
-8.090000000000001e+01	-4.243661e+01	-3.846339e-02
-8.080000000000000e+01	-4.243179e+01	-3.836822e-02
-8.070000000000000e+01	-4.242696e+01	-3.827304e-02
-8.059999999999999e+01	-4.242213e+01	-3.817787e-02
-8.050000000000000e+01	-4.241730e+01	-3.808270e-02
-8.040000000000001e+01	-4.241247e+01	-3.798753e-02
-8.030000000000000e+01	-4.240764e+01	-3.789236e-02
-8.020000000000000e+01	-4.240281e+01	-3.779719e-02
-8.009999999999999e+01	-4.239798e+01	-3.770202e-02
-8.000000000000000e+01	-4.239315e+01	-3.760685e-02
-7.990000000000001e+01	-4.238832e+01	-3.751168e-02
-7.980000000000000e+01	-4.238350e+01	-3.741650e-02
-7.970000000000000e+01	-4.237867e+01	-3.732133e-02
-7.959999999999999e+01	-4.237384e+01	-3.722616e-02
-7.950000000000000e+01	-4.236901e+01	-3.713099e-02
-7.940000000000001e+01	-4.236417e+01	-3.703582e-02
-7.930000000000000e+01	-4.235934e+01	-3.694066e-02
-7.920000000000000e+01	-4.235452e+01	-3.684549e-02
-7.909999999999999e+01	-4.234969e+01	-3.675032e-02
-7.900000000000000e+01	-4.234485e+01	-3.665515e-02
-7.890000000000001e+01	-4.234002e+01	-3.655998e-02
-7.880000000000000e+01	-4.233519e+01	-3.646481e-02
-7.870000000000000e+01	-4.233036e+01	-3.636964e-02
-7.859999999999999e+01	-4.232553e+01	-3.627447e-02
-7.850000000000000e+01	-4.232070e+01	-3.617930e-02
-7.840000000000001e+01	-4.231586e+01	-3.608413e-02
-7.830000000000000e+01	-4.231103e+01	-3.598897e-02
-7.820000000000000e+01	-4.230620e+01	-3.589380e-02
-7.809999999999999e+01	-4.230137e+01	-3.579863e-02
-7.800000000000000e+01	-4.229654e+01	-3.570347e-02
-7.790000000000001e+01	-4.229170e+01	-3.560830e-02
-7.780000000000000e+01	-4.228687e+01	-3.551313e-02
-7.770000000000000e+01	-4.228204e+01	-3.541796e-02
-7.759999999999999e+01	-4.227720e+01	-3.532280e-02
-7.750000000000000e+01	-4.227237e+01	-3.522763e-02
-7.740000000000001e+01	-4.226754e+01	-3.513246e-02
-7.730000000000000e+01	-4.226270e+01	-3.503730e-02
-7.720000000000000e+01	-4.225787e+01	-3.494213e-02
-7.709999999999999e+01	-4.225303e+01	-3.484697e-02
-7.700000000000000e+01	-4.224820e+01	-3.475180e-02
-7.690000000000001e+01	-4.224337e+01	-3.465663e-02
-7.680000000000000e+01	-4.223853e+01	-3.456147e-02
-7.670000000000000e+01	-4.223370e+01	-3.446630e-02
-7.659999999999999e+01	-4.222886e+01	-3.437114e-02
-7.650000000000000e+01	-4.222403e+01	-3.427598e-02
-7.640000000000001e+01	-4.221919e+01	-3.418081e-02
-7.630000000000000e+01	-4.221436e+01	-3.408565e-02
