V2	V(n002)	I(R2)
Step Information: Vbb=0  (Step: 1/26)
4.200000000000000e+00	4.085200e+00	2.050000e-04
4.300000000000000e+00	4.185078e+00	2.052188e-04
4.400000000000000e+00	4.284955e+00	2.054377e-04
4.500000000000000e+00	4.384832e+00	2.056565e-04
4.600000000000001e+00	4.484710e+00	2.058753e-04
4.700000000000000e+00	4.584587e+00	2.060941e-04
4.800000000000001e+00	4.684465e+00	2.063129e-04
4.900000000000000e+00	4.784342e+00	2.065317e-04
5.000000000000000e+00	4.884220e+00	2.067505e-04
5.100000000000001e+00	4.984097e+00	2.069693e-04
5.200000000000000e+00	5.083975e+00	2.071881e-04
5.300000000000001e+00	5.183852e+00	2.074069e-04
5.400000000000000e+00	5.283730e+00	2.076257e-04
5.500000000000000e+00	5.383607e+00	2.078445e-04
5.600000000000001e+00	5.483485e+00	2.080633e-04
5.700000000000000e+00	5.583362e+00	2.082821e-04
5.800000000000001e+00	5.683239e+00	2.085009e-04
5.900000000000000e+00	5.783117e+00	2.087196e-04
6.000000000000000e+00	5.882995e+00	2.089384e-04
6.100000000000001e+00	5.982872e+00	2.091572e-04
6.200000000000000e+00	6.082749e+00	2.093760e-04
6.300000000000001e+00	6.182627e+00	2.095947e-04
6.400000000000000e+00	6.282505e+00	2.098135e-04
6.500000000000000e+00	6.382382e+00	2.100322e-04
6.600000000000001e+00	6.482259e+00	2.102510e-04
6.700000000000000e+00	6.582137e+00	2.104698e-04
6.800000000000001e+00	6.682014e+00	2.106885e-04
6.900000000000000e+00	6.781892e+00	2.109073e-04
7.000000000000000e+00	6.881770e+00	2.111260e-04
7.100000000000001e+00	6.981647e+00	2.113448e-04
7.200000000000000e+00	7.081524e+00	2.115635e-04
7.300000000000001e+00	7.181402e+00	2.117822e-04
7.400000000000000e+00	7.281280e+00	2.120010e-04
7.500000000000000e+00	7.381157e+00	2.122197e-04
7.600000000000001e+00	7.481034e+00	2.124384e-04
7.700000000000000e+00	7.580912e+00	2.126571e-04
7.800000000000001e+00	7.680789e+00	2.128759e-04
7.900000000000000e+00	7.780667e+00	2.130946e-04
8.000000000000000e+00	7.880545e+00	2.133133e-04
8.100000000000000e+00	7.980422e+00	2.135320e-04
8.200000000000001e+00	8.080299e+00	2.137507e-04
8.300000000000001e+00	8.180177e+00	2.139695e-04
8.400000000000000e+00	8.280055e+00	2.141882e-04
8.500000000000000e+00	8.379932e+00	2.144069e-04
8.600000000000000e+00	8.479810e+00	2.146256e-04
8.700000000000001e+00	8.579687e+00	2.148443e-04
8.800000000000001e+00	8.679564e+00	2.150630e-04
8.900000000000000e+00	8.779442e+00	2.152817e-04
9.000000000000000e+00	8.879320e+00	2.155003e-04
9.100000000000000e+00	8.979198e+00	2.157190e-04
9.200000000000001e+00	9.079075e+00	2.159377e-04
9.300000000000001e+00	9.178952e+00	2.161564e-04
9.400000000000000e+00	9.278830e+00	2.163751e-04
9.500000000000000e+00	9.378708e+00	2.165937e-04
9.600000000000001e+00	9.478585e+00	2.168124e-04
9.700000000000001e+00	9.578463e+00	2.170311e-04
9.800000000000001e+00	9.678340e+00	2.172498e-04
9.900000000000000e+00	9.778217e+00	2.174684e-04
1.000000000000000e+01	9.878096e+00	2.176871e-04
Step Information: Vbb=800m  (Step: 5/26)
0.000000000000000e+00	-7.725981e-02	1.379640e-04
1.000000000000000e-01	-6.015609e-02	2.859930e-04
2.000000000000000e-01	-4.764538e-02	4.422239e-04
3.000000000000000e-01	-3.759005e-02	6.028394e-04
4.000000000000000e-01	-2.900283e-02	7.660765e-04
5.000000000000000e-01	-2.133848e-02	9.309616e-04
6.000000000000001e-01	-1.432773e-02	1.097014e-03
7.000000000000001e-01	-7.729335e-03	1.263802e-03
8.000000000000000e-01	-1.394621e-03	1.431062e-03
