V1	I(D1)
-5.770000000000000e+01	-1.639034e-02
-5.759999999999999e+01	-1.629525e-02
-5.750000000000000e+01	-1.620016e-02
-5.740000000000000e+01	-1.610507e-02
-5.730000000000000e+01	-1.600998e-02
-5.720000000000000e+01	-1.591490e-02
-5.709999999999999e+01	-1.581981e-02
-5.700000000000000e+01	-1.572473e-02
-5.690000000000000e+01	-1.562965e-02
-5.680000000000000e+01	-1.553456e-02
-5.670000000000000e+01	-1.543948e-02
-5.659999999999999e+01	-1.534440e-02
-5.650000000000000e+01	-1.524932e-02
-5.640000000000000e+01	-1.515424e-02
-5.630000000000000e+01	-1.505916e-02
-5.620000000000000e+01	-1.496409e-02
-5.609999999999999e+01	-1.486901e-02
-5.600000000000000e+01	-1.477394e-02
-5.590000000000000e+01	-1.467886e-02
-5.580000000000000e+01	-1.458379e-02
-5.570000000000000e+01	-1.448872e-02
-5.559999999999999e+01	-1.439365e-02
-5.550000000000000e+01	-1.429858e-02
-5.540000000000000e+01	-1.420351e-02
-5.530000000000000e+01	-1.410844e-02
-5.520000000000000e+01	-1.401337e-02
-5.509999999999999e+01	-1.391831e-02
-5.500000000000000e+01	-1.382324e-02
-5.490000000000000e+01	-1.372818e-02
-5.480000000000000e+01	-1.363312e-02
-5.470000000000000e+01	-1.353806e-02
-5.459999999999999e+01	-1.344300e-02
-5.450000000000000e+01	-1.334794e-02
-5.440000000000000e+01	-1.325288e-02
-5.430000000000000e+01	-1.315783e-02
-5.420000000000000e+01	-1.306277e-02
-5.409999999999999e+01	-1.296772e-02
-5.400000000000000e+01	-1.287267e-02
-5.390000000000000e+01	-1.277762e-02
-5.380000000000000e+01	-1.268257e-02
-5.370000000000000e+01	-1.258752e-02
-5.359999999999999e+01	-1.249248e-02
-5.350000000000000e+01	-1.239743e-02
-5.340000000000000e+01	-1.230239e-02
-5.330000000000000e+01	-1.220734e-02
-5.320000000000000e+01	-1.211230e-02
-5.309999999999999e+01	-1.201726e-02
-5.300000000000000e+01	-1.192223e-02
-5.290000000000000e+01	-1.182719e-02
